simulation_index,country,age_testing_strategy,WHO_region,pandemic,time_of_pandemic,total_cost_pand_ngiv,total_cost_epid_ngiv,vaccs_pand_ngiv,vaccs_epid_ngiv,total_cost_pand_base,total_cost_epid_base,vaccs_pand_base,vaccs_epid_base,threshold_cost_pand,threshold_cost_epid,tc_diff,sens_a
1,GBR,2,EUR,1918,16,242901411087.15717,69354515042.53714,25852092.330670454,25852092.330670454,278512467826.5546,84296783208.31964,78218123.95135903,78218123.95135903,1377.4922464263811,577.990669948802,799.5015764775792,50% coverage
1,GBR,2,EUR,1918,17,240049391314.48892,72356809733.7383,26996327.44816146,26996327.44816146,275490303659.2296,87867977141.92572,82173088.71052606,82173088.71052606,1312.8049514436577,574.5658344814523,738.2391169622055,50% coverage
1,GBR,2,EUR,1918,18,238621912315.46716,76589859319.97646,28132433.3099925,28132433.3099925,274250634436.05493,93000129437.11984,86102919.1496856,86102919.1496856,1266.4642879623436,583.322101444902,683.1421865174416,50% coverage
1,GBR,2,EUR,1918,19,233196474891.2195,76637891155.26077,29260724.746352717,29260724.746352717,268265909853.11224,93173353346.40012,90008603.75993156,90008603.75993156,1198.5155961068276,565.1077454327392,633.4078506740884,50% coverage
1,GBR,2,EUR,1918,20,233066185608.6301,81800190529.15764,30397386.712031364,30397386.712031364,268857066193.9721,99715607325.13597,93913010.76434596,93913010.76434596,1177.4328143536065,589.3735854894186,588.059228864188,50% coverage
1,GBR,2,EUR,1918,21,228010784894.8475,81847784419.5196,31510960.040098693,31510960.040098693,263326742678.42178,99933381579.16164,97773144.95044103,97773144.95044103,1120.7515651263436,573.9462439934402,546.8053211329034,50% coverage
1,GBR,2,EUR,1918,22,225899642741.68445,84689710169.72498,32617446.944978006,32617446.944978006,261148104779.69678,103315281529.14795,101611570.65733495,101611570.65733495,1080.6628151330344,571.0309390812296,509.63187605180485,50% coverage
1,GBR,2,EUR,1918,23,223883023915.21912,87460838604.93935,33717124.53802802,33717124.53802802,259333454839.5161,106871832041.8447,105428986.13757597,105428986.13757597,1051.4073014830806,575.701329898775,475.70597158430553,50% coverage
1,GBR,2,EUR,1918,24,220063746662.3241,89793376425.53615,34810191.532793336,34810191.532793336,255356446766.00153,109943921248.04881,109226009.67831826,109226009.67831826,1013.8611294462296,578.8691166358454,434.99201281038415,50% coverage
1,GBR,2,EUR,1918,25,217212795468.83295,89892417268.34941,35896828.78741524,35896828.78741524,252363602435.33844,110107410380.34558,113003203.45389593,113003203.45389593,979.2176120813409,563.1414750230853,416.07613705825565,50% coverage
1,GBR,2,EUR,1918,26,214574108215.94302,91578227093.88976,36992501.64267128,36992501.64267128,249883024327.83206,112473093629.03973,116782332.358921,116782332.358921,954.4884650666554,564.8405922093008,389.6478728573546,50% coverage
1,GBR,2,EUR,1918,27,210442377264.85135,91614937027.5161,38066830.42208807,38066830.42208807,245642545125.37277,112912899698.158,120521470.81754658,120521470.81754658,924.6939519318823,559.4887316461178,365.20522028576454,50% coverage
